	Gewinn Gesamt	Kosten
575	-83022.79049413424	182271.82349413424
576	-82831.69249413424	182276.34649413422
577	-87637.19649413424	182280.86849413425
578	-87468.24749413424	182285.39149413424
579	-76274.74249413423	182289.91349413423
580	-76086.86849413424	182294.43649413425
581	-84560.80749413423	182298.95849413425
582	-84365.77149413424	182303.48149413423
583	-86345.84349413424	182308.00349413423
584	-86174.39549413424	182312.52649413425
585	-70811.62849413425	182317.04949413423
586	-70601.52849413424	182321.57149413423
587	-85249.06549413424	182326.09449413425
588	-85059.90549413423	182330.61649413424
589	-90508.81149413424	182335.13949413423
590	-90342.08149413424	182339.66149413423
591	-90181.90549413423	182344.18449413424
592	-90013.69949413424	182348.70649413424
593	-82811.21449413424	182353.22949413423
594	-82654.50849413424	182357.75149413425
595	-83863.23649413424	182362.27449413424
596	-83689.80849413424	182366.79749413423
597	-73106.37649413424	182371.31949413425
598	-72909.10449413424	182375.84249413424
599	-67960.71949413423	182380.36449413424
600	-67751.61849413424	182384.88749413425
601	-85503.24649413423	182389.40949413425
602	-85332.19149413424	182393.93249413423
603	-83824.33549413424	182398.45449413423
604	-83640.67649413424	182402.97749413425
605	-87350.12949413423	182407.49949413424
606	-87187.08349413423	182412.02249413423
607	-70637.23949413424	182416.54449413423
608	-70437.29749413424	182421.06749413424
609	-105580.13849413424	182425.59049413423
610	-105444.41349413423	182430.11249413423
611	-70881.52449413424	182434.63549413424
612	-70688.18349413424	182439.15749413424
613	-76016.87149413423	182443.68049413423
614	-75829.00249413424	182448.20249413422
615	-83147.78149413424	182452.72549413424
616	-83000.12149413423	182457.24749413424
617	-75891.93349413424	182461.77049413425
618	-75732.29449413424	182466.29249413425
619	-79226.68249413423	182470.81549413424
620	-79070.64749413423	182475.33849413425
621	-68228.04949413423	182479.86049413425
622	-68043.35949413425	182484.38349413424
623	-77879.04849413424	182488.90549413423
624	-77716.06749413424	182493.42849413425
625	-73411.94149413424	182497.95049413425
626	-73232.21549413425	182502.47349413423
627	-70094.38949413424	182506.99549413423
628	-69903.08349413423	182511.51849413424
629	-89085.74749413424	182516.04049413424
630	-88942.35649413423	182520.56349413423
631	-71314.28049413423	182525.08649413424
632	-71150.12549413423	182529.60849413424
633	-48074.83949413424	182534.13149413423
634	-47872.469494134246	182538.65349413423
635	-64267.83249413424	182543.17649413424
636	-64079.65349413424	182547.69849413424
637	-67529.20849413423	182552.22149413422
638	-67366.16449413424	182556.74349413425
639	-69052.08949413424	182561.26649413424
640	-68892.99949413424	182565.78849413423
641	-73832.70849413423	182570.31149413425
642	-73675.39549413424	182574.83349413425
643	-72661.26749413424	182579.35649413423
644	-72504.51649413424	182583.87949413425
645	-72099.53349413424	182588.40149413425
646	-71940.79549413423	182592.92449413423
647	-76497.25549413424	182597.44649413423
648	-76342.41049413424	182601.96949413425
649	-42288.442494134244	182606.49149413424
650	-42087.21849413423	182611.01449413423
651	-75815.44549413424	182615.53649413423
652	-75663.23449413425	182620.05949413424
653	-66311.16449413424	182624.58149413424
654	-66143.28149413424	182629.10449413423
655	-71481.11849413424	182633.62749413424
656	-71331.31449413423	182638.14949413424
657	-70200.58749413423	182642.67249413423
658	-70046.46549413425	182647.19449413425
659	-81339.51649413424	182651.71749413424
660	-81200.35549413424	182656.23949413424
661	-81348.57249413423	182660.76249413425
662	-81207.39749413423	182665.28449413425
663	-72165.00849413424	182669.80749413423
664	-72018.92249413424	182674.32949413423
665	-92153.15949413423	182678.85249413425
666	-92037.31049413423	182683.37549413423
667	-77767.62649413424	182687.89749413423
668	-77636.91049413424	182692.42049413425
669	-77892.57949413423	182696.94249413424
670	-77758.36549413424	182701.46549413423
671	-85305.52149413424	182705.98749413423
672	-85180.45949413424	182710.51049413424
673	-127527.96249413423	182715.03249413424
674	-127473.86449413424	182719.55549413423
675	-79772.55549413424	182724.07749413422
676	-79650.14949413424	182728.60049413424
677	-79840.22949413424	182733.12249413424
678	-79716.51049413424	182737.64549413425
679	-100749.62649413424	182742.16849413424
680	-100657.47749413423	182746.69049413424
681	-82554.71549413425	182751.21349413425
682	-82435.97349413423	182755.73549413425
683	-70986.14049413423	182760.25849413424
684	-70848.09249413424	182764.78049413423
685	-74914.05749413423	182769.30349413425
686	-74781.42449413423	182773.82549413425
687	-78955.34049413425	182778.34849413423
688	-78829.73549413423	182782.87049413423
689	-77163.49649413423	182787.39349413424
690	-77037.23349413424	182791.91649413423
691	-32426.895494134253	182796.43849413423
692	-32233.96749413424	182800.96149413424
693	-77252.15049413424	182805.48349413424
694	-77123.86449413424	182810.00649413423
695	-70042.10349413424	182814.52849413423
696	-69907.35049413424	182819.05149413424
697	-73183.54349413424	182823.57349413424
698	-73041.89049413423	182828.09649413422
699	-74964.11249413424	182832.61849413425
700	-74838.01849413424	182837.14149413424
701	-88526.10549413424	182841.66449413425
702	-88418.63449413424	182846.18649413425
703	-64847.78549413424	182850.70949413424
704	-64708.63449413424	182855.23149413423
705	-69940.50349413425	182859.75449413425
706	-69807.70149413423	182864.27649413425
707	-91244.43449413424	182868.79949413423
708	-91145.38749413424	182873.32149413423
709	-71706.88049413424	182877.84449413425
710	-71580.16349413423	182882.36649413424
711	-70078.58249413424	182886.88949413423
712	-69949.19849413424	182891.41149413423
713	-47342.99549413423	182895.93449413424
714	-47181.26449413423	182900.45749413423
715	-49720.855494134245	182904.97949413423
716	-49561.715494134245	182909.50249413424
717	-58607.22849413424	182914.02449413424
718	-58459.80549413424	182918.54749413423
719	-35269.113494134246	182923.06949413425
720	-35092.53449413425	182927.59249413424
721	-69318.26849413424	182932.11449413424
722	-69187.47049413424	182936.63749413425
